Branch
MW From ,MW To ,Mvar From ,Mvar To ,From Number,To Number
7.2,-7.2,-0.1,0.7,10012,10019
-311.0,311.8,-29.9,20.0,10012,10987
11.5,-11.4,-0.9,1.8,10012,10731
-9.5,9.5,-0.9,1.2,10012,10987
115.7,-115.6,-8.0,-23.5,10012,10023
3.7,-3.7,0.4,-0.4,10012,10023
-2.8,2.8,0.5,-0.4,10012,10938
-34.0,34.0,-3.8,5.4,10023,10987
9.6,-9.5,-1.4,1.9,10023,10731
-11.8,11.8,-2.7,3.4,10057,10928
-194.5,194.6,-39.5,39.9,10057,10059
-3.4,3.4,-0.6,0.7,10057,10862
1.3,-1.3,-0.2,0.3,10057,10843
38.9,-38.7,-3.0,5.3,10057,10836
-8.0,8.0,-0.3,0.6,10057,10757
230.7,-230.1,12.0,-78.4,10059,10462
0.1,-0.1,1.2,-1.2,10078,10330
3.8,-3.8,-0.4,0.5,10078,10731
-202.5,202.9,-19.2,-48.9,10078,10838
-2.0,2.0,4.1,-3.9,10078,10459
0.9,-0.9,0.8,-0.7,10117,11037
-8.2,8.2,1.3,-0.1,10117,10798
-3.0,3.0,0.6,-0.5,10117,10758
-3.8,3.8,0.8,-0.4,10117,10917
18.6,-18.4,0.4,2.1,10117,10785
1.6,-1.6,-1.7,1.7,10127,10836
-0.5,0.5,0.6,-0.6,10127,10330
10.9,-10.9,-7.6,8.0,10127,10731
-51.9,52.0,-106.6,75.2,10127,10730
-4.0,4.0,1.8,-1.7,10127,10459
-266.8,267.5,-146.9,132.9,10192,10813
-11.7,11.7,-2.3,2.9,10192,13667
-4.7,4.7,-8.3,8.5,10192,10934
0.3,-0.3,-0.1,0.1,10192,13264
1.5,-1.5,-0.2,0.2,10192,13324
159.0,-158.9,41.0,-56.6,10192,13180
-1.6,1.6,-1.0,1.1,10192,10953
-394.4,398.1,-64.2,-31.4,10192,11001
55.2,-55.2,29.1,-29.1,10196,10198
1.5,-1.5,0.2,-0.2,10196,10843
-301.8,302.2,-138.1,127.8,10196,10735
2.0,-2.0,0.8,-0.7,10196,10462
25.0,-24.9,0.0,1.5,10196,10836
-248.8,249.5,-13.7,-16.6,10196,10857
1.1,-1.1,-0.5,0.5,10275,10462
-8.5,8.5,-0.3,1.1,10275,10758
22.8,-22.7,-17.0,18.3,10275,10729
-2.2,2.2,-0.0,0.1,10275,11037
14.4,-14.3,16.1,-15.9,10275,10459
0.6,-0.6,0.3,-0.3,10275,10468
-370.2,373.0,-35.6,6.8,10275,10758
2.6,-2.6,-1.0,1.2,10275,10731
8.6,-8.6,4.4,-4.1,10275,10330
1.0,-1.0,0.2,-0.2,10275,10346
262.9,-262.3,105.0,-117.1,10275,10330
-504.7,507.8,-111.0,102.8,10275,10117
52.7,-52.7,12.4,-12.3,10330,10332
-24.3,24.3,-3.8,4.2,10330,10459
-2.6,2.6,-0.9,1.0,10330,10369
0.9,-0.9,-3.2,3.4,10330,10729
-3.3,3.3,-1.2,1.2,10330,10427
2.0,-2.0,-2.6,2.7,10330,10836
-4.9,4.9,-12.8,13.0,10330,10462
-3.3,3.3,-2.1,2.3,10330,10432
1.2,-1.2,-1.7,1.8,10333,10729
0.2,-0.2,-0.6,0.6,10333,10462
-154.5,154.6,-37.8,26.2,10333,10427
-2.9,2.9,1.3,-1.3,10346,10459
-179.5,179.6,21.6,-21.2,10346,10353
173.4,-173.2,206.8,-215.7,10353,10330
-130.2,130.2,24.0,-32.9,10353,10468
-441.5,444.7,-83.7,76.8,10369,10893
4.9,-4.8,-2.5,2.8,10369,10729
2.1,-2.1,1.1,-1.0,10369,10427
-3.7,3.7,-0.9,1.2,10369,10794
239.0,-238.7,44.8,-51.8,10369,10275
-11.7,11.8,0.8,0.8,10369,10917
7.4,-7.4,3.8,-3.6,10369,10459
-4.3,4.3,0.0,0.1,10369,11037
0.2,-0.2,1.4,-1.4,10414,10459
13.7,-13.7,-2.5,3.1,10414,10836
223.3,-222.8,198.9,-209.6,10414,10353
-128.6,128.8,-99.9,84.5,10414,10838
2.6,-2.6,-2.6,2.8,10427,10729
