Branch
MW From ,MW To ,Mvar From ,Mvar To ,From Number,To Number
7.2,-7.2,-0.1,0.7,10012,10019
-312.3,313.1,-30.3,20.4,10012,10987
11.6,-11.5,-0.9,1.7,10012,10731
-9.6,9.6,-0.9,1.2,10012,10987
116.2,-116.0,-7.8,-23.8,10012,10023
3.7,-3.7,0.4,-0.4,10012,10023
-2.8,2.8,0.5,-0.4,10012,10938
-34.1,34.2,-3.9,5.5,10023,10987
9.6,-9.6,-1.3,1.9,10023,10731
-12.4,12.4,-2.4,3.1,10057,10928
-192.5,192.6,-39.3,39.7,10057,10059
-4.0,4.0,-0.7,0.9,10057,10862
1.1,-1.1,-0.3,0.3,10057,10843
39.1,-38.9,-3.4,5.7,10057,10836
-9.1,9.2,-0.3,0.7,10057,10757
241.6,-241.0,8.7,-74.7,10059,10462
0.1,-0.1,1.2,-1.2,10078,10330
3.8,-3.8,-0.4,0.5,10078,10731
-203.5,203.9,-19.3,-49.0,10078,10838
-1.8,1.8,4.1,-4.0,10078,10459
0.9,-0.9,0.7,-0.7,10117,11037
-8.2,8.3,1.3,-0.1,10117,10798
-3.0,3.0,0.6,-0.5,10117,10758
-3.7,3.8,0.7,-0.4,10117,10917
18.6,-18.4,0.4,2.0,10117,10785
1.5,-1.5,-1.7,1.7,10127,10836
-0.4,0.4,0.6,-0.6,10127,10330
11.0,-11.0,-7.7,8.1,10127,10731
-52.0,52.2,-107.6,76.1,10127,10730
-3.7,3.7,1.9,-1.8,10127,10459
-229.7,230.2,-114.7,97.1,10192,10813
-11.9,11.9,-3.7,4.3,10192,13667
-3.0,3.0,-7.1,7.3,10192,10934
0.4,-0.4,-0.1,0.1,10192,13264
1.6,-1.6,-0.2,0.3,10192,13324
185.8,-185.6,43.3,-58.7,10192,13180
-1.4,1.4,-0.8,0.8,10192,10953
-499.3,505.1,-69.9,-4.3,10192,11001
55.2,-55.2,29.1,-29.1,10196,10198
1.2,-1.2,0.2,-0.2,10196,10843
-296.1,296.5,-143.2,132.7,10196,10735
2.0,-2.0,0.8,-0.7,10196,10462
24.8,-24.7,0.0,1.5,10196,10836
-260.9,261.7,-7.2,-22.4,10196,10857
1.0,-1.0,-0.5,0.5,10275,10462
-8.5,8.5,-0.3,1.1,10275,10758
22.9,-22.8,-17.1,18.4,10275,10729
-2.2,2.2,-0.0,0.1,10275,11037
14.3,-14.2,15.9,-15.7,10275,10459
0.5,-0.5,0.3,-0.3,10275,10468
-369.0,371.7,-35.9,6.6,10275,10758
2.5,-2.5,-1.1,1.2,10275,10731
8.4,-8.4,4.3,-4.0,10275,10330
1.0,-1.0,0.2,-0.2,10275,10346
256.8,-256.2,102.5,-115.0,10275,10330
-503.6,506.7,-107.2,98.6,10275,10117
52.7,-52.7,12.4,-12.3,10330,10332
-23.5,23.5,-3.7,4.0,10330,10459
-2.5,2.5,-0.9,1.0,10330,10369
1.0,-1.0,-3.2,3.4,10330,10729
-3.2,3.2,-1.1,1.2,10330,10427
1.8,-1.8,-2.6,2.7,10330,10836
-5.6,5.6,-12.9,13.1,10330,10462
-3.4,3.4,-2.1,2.3,10330,10432
1.2,-1.2,-1.7,1.8,10333,10729
0.2,-0.2,-0.6,0.6,10333,10462
-153.9,154.0,-36.9,25.3,10333,10427
-2.7,2.7,1.4,-1.4,10346,10459
-180.3,180.4,21.6,-21.2,10346,10353
179.8,-179.5,209.1,-218.0,10353,10330
-128.4,128.4,24.0,-33.0,10353,10468
-441.2,444.3,-81.6,74.5,10369,10893
4.9,-4.8,-2.6,2.9,10369,10729
2.1,-2.1,1.1,-1.0,10369,10427
-3.7,3.7,-0.9,1.2,10369,10794
237.4,-237.1,44.1,-51.2,10369,10275
-11.6,11.7,0.8,0.8,10369,10917
7.4,-7.4,3.8,-3.6,10369,10459
-4.3,4.3,0.0,0.1,10369,11037
0.3,-0.3,1.4,-1.4,10414,10459
13.3,-13.3,-2.6,3.1,10414,10836
232.2,-231.8,201.4,-211.9,10414,10353
-133.9,134.1,-100.8,85.5,10414,10838
2.6,-2.6,-2.6,2.8,10427,10729
62.2,-62.2,12.8,-12.8,10427,10429
-311.5,312.1,-39.5,18.1,10427,10728
-113.9,113.9,-137.4,130.2,10427,10275
5.5,-5.5,5.8,-5.7,10427,10459
-14.5,14.6,5.8,-5.1,10432,10966
-434.7,439.6,11.5,-18.9,10432,10701
7.5,-7.4,-0.9,1.4,10432,10836
482.3,-480.9,103.2,-108.4,10432,10462
-280.5,281.0,-176.6,162.3,10432,10735
7.4,-7.4,2.0,-1.7,10432,10462
-472.8,476.6,-131.6,106.4,10459,10893
-275.1,275.8,-61.8,46.6,10459,10728
-590.6,602.5,-34.5,19.3,10459,11075
93.9,-93.8,-60.7,49.4,10459,10333
-29.9,30.1,-1.2,6.6,10459,10697
-18.6,18.7,0.2,3.8,10459,10708
2.5,-2.5,-5.6,5.6,10459,10462
9.9,-9.8,-13.5,14.2,10459,10729
5.9,-5.9,-6.1,6.4,10462,10729
-30.2,30.6,3.3,3.2,10462,10708
2.7,-2.7,-3.2,3.2,10462,10803
11.6,-11.6,-5.6,6.0,10462,10836
3.4,-3.4,-3.1,3.2,10462,10802
-87.2,87.4,137.9,-160.7,10462,10468
-0.6,0.6,-0.4,0.4,10462,10843
-6.0,6.0,55.6,-66.7,10468,10459
-652.9,665.2,-23.6,10.6,10468,10708
224.8,-224.5,86.5,-95.0,10468,10330
-195.7,196.2,-90.7,53.1,10534,10681
21.4,-21.4,2.8,0.1,10534,10966
-4.9,4.9,-1.9,2.0,10534,10906
2.4,-2.4,-3.2,3.3,10586,10681
-0.3,0.3,1.0,-1.0,10586,11062
-10.5,10.5,0.5,0.4,10586,10942
48.4,-48.4,13.3,-13.3,10586,10588
-7.4,7.4,-0.5,0.8,10586,10809
-153.3,153.6,-31.5,14.4,10586,10899
2.6,-2.6,-1.3,1.4,10586,10979
17.0,-16.9,-6.4,7.2,10661,74240
0.0,-0.0,-0.0,0.0,10661,10664
-256.8,257.0,-112.7,113.6,10661,10663
119.4,-119.1,-29.5,40.1,10661,10778
-210.0,211.3,-67.4,9.5,10663,74234
-138.6,138.6,-59.1,61.2,10680,10685
-902.5,903.4,190.9,-352.7,10680,10812
-120.6,120.6,-59.9,61.2,10680,10687
-85.3,85.3,-60.2,61.2,10680,10684
161.2,-161.2,142.8,-226.8,10680,10905
-109.9,109.9,-59.6,61.2,10680,10688
-9.0,9.0,-4.9,5.0,10681,10689
-17.7,17.7,-19.4,-7.3,10681,10915
8.2,-8.1,1.1,0.2,10681,10966
1.3,-1.3,-0.0,0.0,10681,10979
-291.2,291.3,-47.0,54.1,10681,10680
-0.2,0.2,-0.0,0.0,10681,10906
10.6,-10.2,-5.3,7.7,10691,10933
10.7,-10.6,-4.9,7.0,10691,13616
25.7,-25.7,-9.2,14.2,10691,10983
8.5,-8.4,0.3,0.3,10694,10843
1.2,-1.2,3.1,-3.0,10694,10862
9.1,-8.9,0.2,0.4,10695,10843
3.1,-3.1,3.0,-2.9,10695,10862
-79.4,79.4,17.2,-14.5,10697,10699
1.2,-1.2,0.5,-0.5,10697,10700
9.5,-9.3,0.2,1.7,10697,10729
-31.7,31.7,-15.7,15.7,10697,10701
-222.1,222.8,12.1,-41.6,10701,10718
-249.3,250.1,-9.0,-3.6,10701,10979
29.5,-28.9,2.9,0.6,10703,10933
65.8,-65.7,19.6,-11.4,10703,11001
334.2,-333.4,-460.1,463.7,10707,10716
-172.4,172.4,11.7,-10.6,10707,10715
-189.6,189.7,13.3,-10.6,10707,10711
-135.9,136.0,12.4,-10.6,10707,10712
-171.1,171.2,13.7,-10.6,10707,10710
-189.3,189.4,13.0,-10.6,10707,10713
5.7,-5.7,2.1,-1.3,10708,10867
34.2,-33.4,-0.0,8.0,10708,10729
-523.9,524.2,-28.9,52.2,10708,10707
26.0,-25.9,2.6,3.4,10708,10803
26.4,-26.3,2.7,3.5,10708,10802
300.9,-300.8,-86.3,-0.0,10716,10717
-1447.5,1452.2,-214.0,-119.1,10716,11011
1479.8,-1471.2,-163.4,-154.1,10716,10734
-71.1,71.1,-39.3,40.3,10717,10726
-1145.7,1148.3,-211.6,27.9,10717,11074
-104.9,104.9,-38.8,40.3,10717,10724
639.2,-637.3,-372.3,-444.2,10717,10892
-71.3,71.3,-39.4,40.3,10717,10725
-82.2,82.2,-39.5,40.3,10717,10723
1025.1,-1020.1,-442.8,-272.8,10717,10861
-11.5,11.5,0.6,-0.3,10718,11047
-1.1,1.1,-2.1,2.2,10718,10979
-3.6,3.6,0.0,0.1,10718,10899
87.0,-86.9,-24.1,5.5,10718,10708
-379.8,379.9,51.3,-40.8,10718,10717
-484.7,494.9,-19.3,-6.0,10728,10748
123.9,-123.8,-72.0,48.8,10728,10369
-196.3,196.6,-68.5,81.8,10729,10728
-6.8,6.8,1.0,-0.7,10729,10925
-33.8,34.5,7.4,1.2,10729,10873
-0.2,0.2,0.2,-0.2,10729,10802
-0.5,0.5,0.2,-0.2,10729,10803
115.1,-115.0,-13.0,16.6,10730,10731
-323.9,324.5,6.5,-22.6,10730,10023
156.7,-156.2,-69.6,13.5,10730,10019
-5.4,5.4,7.9,-7.8,10731,11009
-11.5,11.6,1.7,-0.6,10731,10987
-0.5,0.5,0.3,-0.3,10731,10836
-13.9,13.9,3.0,-1.9,10731,11008
-157.9,158.0,-78.6,81.0,10734,10738
-157.9,158.0,-78.7,81.0,10734,10737
-531.0,531.5,-404.3,254.4,10734,10861
374.5,-373.0,127.2,-135.7,10735,10414
-788.2,788.6,88.5,-51.1,10735,10734
611.4,-609.7,153.9,-155.0,10735,10838
486.9,-484.8,64.3,-26.5,10735,10836
-788.2,788.6,88.5,-51.1,10735,10734
-739.4,740.8,-1152.5,1283.8,10735,10734
-64.2,64.2,4.3,-3.9,10739,10744
-80.0,80.0,4.3,-3.9,10739,10742
93.1,-92.8,-0.7,4.3,10740,10934
-475.7,476.0,21.0,0.2,10740,10739
6.1,-6.1,3.1,-2.6,10740,13302
38.3,-38.2,-10.6,14.1,10746,10906
357.7,-357.6,-42.0,-26.9,10747,11074
-333.8,333.9,30.7,-20.1,10747,10755
-293.0,293.0,25.3,-20.1,10747,10752
-323.0,323.1,28.2,-20.1,10747,10754
1255.5,-1250.6,-102.3,-377.7,10747,10916
-409.2,409.4,31.3,-20.1,10747,10750
11.6,-11.5,-0.8,1.4,10748,10873
257.9,-257.6,-16.6,3.8,10748,11075
-822.5,822.7,22.3,-2.7,10748,10747
-0.0,0.0,-0.6,0.6,10757,10857
-1.3,1.3,1.2,-1.1,10757,11070
23.4,-23.2,6.0,-4.8,10757,11035
8.2,-8.0,-1.3,2.1,10757,10836
-11.8,11.8,-3.7,3.9,10757,10928
-34.9,34.9,-6.3,6.6,10757,10756
-3.2,3.3,0.6,-0.4,10758,10917
12.7,-12.6,1.7,-1.0,10758,11037
-275.7,276.9,11.9,-42.7,10758,10917
0.0,0.0,-0.0,0.0,10760,10764
0.7,-0.7,-0.1,0.1,10760,11048
10.5,-10.4,-2.0,3.2,10760,13492
-201.6,201.7,14.9,-14.4,10760,10762
1.5,-1.5,-0.2,0.3,10760,13229
29.0,-29.0,9.8,-9.2,10760,13302
1.5,-1.5,-1.2,1.2,10760,13593
0.0,-0.0,-0.0,0.0,10760,10763
0.0,-0.0,0.0,-0.0,10760,10765
-493.8,499.0,-100.0,36.4,10762,13621
-394.6,396.6,-143.2,135.5,10762,13667
15.7,-15.7,-2.1,2.6,10766,13431
-212.4,212.5,-47.0,56.8,10766,10768
-71.3,71.3,-12.8,-5.0,10766,11056
2.4,-2.4,-0.1,0.2,10766,10942
174.8,-174.5,-22.4,-4.7,10769,10758
403.3,-400.0,-2.6,-44.4,10769,10728
103.2,-102.3,4.6,3.4,10769,11037
-51.8,51.8,-18.9,19.9,10769,10771
-41.4,41.4,-19.3,19.9,10769,10774
-41.6,41.6,-19.1,19.9,10769,10772
