Branch
MW From ,MW To ,Mvar From ,Mvar To ,From Number,To Number
7.2,-7.2,-0.1,0.7,10012,10019
-310.6,311.4,-30.6,20.7,10012,10987
11.5,-11.4,-0.9,1.7,10012,10731
-9.5,9.5,-0.9,1.2,10012,10987
115.5,-115.3,-7.3,-24.2,10012,10023
3.6,-3.6,0.5,-0.4,10012,10023
-2.8,2.8,0.5,-0.4,10012,10938
-33.9,34.0,-4.0,5.5,10023,10987
9.6,-9.5,-1.3,1.8,10023,10731
-12.1,12.1,-2.9,3.6,10057,10928
-192.5,192.6,-38.2,38.6,10057,10059
-3.8,3.8,-0.9,1.0,10057,10862
1.1,-1.1,-0.4,0.4,10057,10843
38.8,-38.7,-3.1,5.4,10057,10836
-8.7,8.8,-0.8,1.1,10057,10757
237.0,-236.4,10.2,-76.1,10059,10462
0.1,-0.1,1.2,-1.1,10078,10330
3.8,-3.8,-0.4,0.6,10078,10731
-202.3,202.6,-18.9,-49.0,10078,10838
-1.9,1.9,3.9,-3.8,10078,10459
0.9,-0.9,0.7,-0.7,10117,11037
-8.3,8.3,1.2,-0.1,10117,10798
-3.0,3.0,0.6,-0.5,10117,10758
-3.7,3.8,0.7,-0.4,10117,10917
18.3,-18.1,1.1,1.3,10117,10785
1.5,-1.5,-1.7,1.7,10127,10836
-0.4,0.4,0.6,-0.6,10127,10330
10.9,-10.9,-7.8,8.2,10127,10731
-51.4,51.5,-108.7,77.3,10127,10730
-3.8,3.8,1.7,-1.6,10127,10459
-234.3,234.8,-107.9,90.4,10192,10813
-11.8,11.8,-2.9,3.5,10192,13667
-3.1,3.2,-6.8,6.9,10192,10934
0.4,-0.4,0.0,-0.0,10192,13264
1.6,-1.6,-0.1,0.2,10192,13324
185.9,-185.7,54.9,-70.2,10192,13180
-1.4,1.4,-0.7,0.7,10192,10953
-499.3,505.2,-127.5,51.5,10192,11001
55.2,-55.2,29.1,-29.1,10196,10198
1.3,-1.3,0.1,-0.0,10196,10843
-296.5,296.9,-136.4,126.0,10196,10735
2.0,-2.0,0.8,-0.7,10196,10462
24.7,-24.6,-0.1,1.7,10196,10836
-256.1,256.9,-13.0,-16.7,10196,10857
1.1,-1.1,-0.4,0.4,10275,10462
-8.5,8.5,-0.3,1.2,10275,10758
21.9,-21.8,-10.4,11.3,10275,10729
-2.2,2.2,-0.0,0.1,10275,11037
14.4,-14.4,16.0,-15.8,10275,10459
0.6,-0.6,0.3,-0.3,10275,10468
-368.5,371.3,-37.1,8.0,10275,10758
2.5,-2.5,-1.0,1.2,10275,10731
8.5,-8.5,4.5,-4.2,10275,10330
1.0,-1.0,0.2,-0.2,10275,10346
260.0,-259.5,108.0,-120.1,10275,10330
-503.3,506.5,-109.6,101.2,10275,10117
52.7,-52.7,12.4,-12.3,10330,10332
-23.8,23.8,-4.4,4.7,10330,10459
-2.5,2.5,-0.9,1.0,10330,10369
0.9,-0.9,-2.4,2.4,10330,10729
-3.3,3.3,-1.2,1.3,10330,10427
1.9,-1.9,-2.6,2.7,10330,10836
-5.3,5.3,-12.5,12.8,10330,10462
-3.3,3.3,-2.1,2.2,10330,10432
1.2,-1.2,-1.2,1.2,10333,10729
0.2,-0.2,-0.5,0.6,10333,10462
-154.6,154.7,-39.2,27.6,10333,10427
-2.8,2.8,1.2,-1.2,10346,10459
-179.4,179.5,21.7,-21.3,10346,10353
175.8,-175.5,203.2,-212.2,10353,10330
-128.8,128.9,21.3,-30.2,10353,10468
-440.5,443.6,-80.6,73.5,10369,10893
4.8,-4.7,-1.5,1.7,10369,10729
2.1,-2.1,1.1,-1.0,10369,10427
-3.7,3.7,-0.9,1.2,10369,10794
238.2,-237.9,48.8,-55.7,10369,10275
-11.6,11.7,0.8,0.8,10369,10917
7.4,-7.4,3.9,-3.7,10369,10459
-4.3,4.3,0.0,0.1,10369,11037
0.2,-0.2,1.3,-1.3,10414,10459
13.4,-13.3,-2.6,3.1,10414,10836
226.9,-226.5,192.5,-203.2,10414,10353
-130.9,131.1,-97.1,81.7,10414,10838
2.5,-2.5,-1.7,1.9,10427,10729
62.2,-62.2,12.8,-12.8,10427,10429
-312.3,313.0,-47.3,25.9,10427,10728
-113.3,113.4,-132.9,125.7,10427,10275
5.6,-5.6,6.0,-6.0,10427,10459
-14.0,14.1,5.0,-4.4,10432,10966
-432.3,437.2,8.7,-16.3,10432,10701
7.5,-7.4,-0.9,1.4,10432,10836
478.3,-477.0,98.1,-103.4,10432,10462
-278.2,278.7,-167.3,153.0,10432,10735
7.4,-7.4,1.9,-1.7,10432,10462
-472.6,476.3,-131.9,107.0,10459,10893
-276.5,277.2,-69.3,54.3,10459,10728
-589.3,601.1,-35.5,20.4,10459,11075
92.4,-92.4,-62.4,51.1,10459,10333
-29.6,29.8,-1.2,6.5,10459,10697
-18.5,18.6,0.2,3.7,10459,10708
2.8,-2.7,-5.2,5.3,10459,10462
9.4,-9.4,-9.6,10.1,10459,10729
5.3,-5.3,-3.4,3.5,10462,10729
-30.1,30.5,3.2,3.3,10462,10708
2.6,-2.6,-3.5,3.6,10462,10803
11.7,-11.7,-5.5,5.9,10462,10836
3.4,-3.4,-3.5,3.6,10462,10802
-91.2,91.4,133.1,-155.8,10462,10468
-0.5,0.5,-0.5,0.5,10462,10843
-10.4,10.4,49.1,-60.2,10468,10459
-650.3,662.5,-23.7,10.7,10468,10708
223.1,-222.7,85.8,-94.4,10468,10330
-194.4,194.9,-89.4,52.1,10534,10681
21.4,-21.4,2.3,0.6,10534,10966
-5.0,5.0,-2.0,2.2,10534,10906
3.0,-3.0,-2.2,2.2,10586,10681
-0.1,0.1,0.6,-0.6,10586,11062
-10.2,10.2,0.2,0.7,10586,10942
48.4,-48.4,13.3,-13.3,10586,10588
-6.9,6.9,-0.8,1.1,10586,10809
-154.9,155.2,-31.5,14.5,10586,10899
2.8,-2.8,-1.2,1.3,10586,10979
16.9,-16.8,-6.5,7.2,10661,74240
0.0,-0.0,-0.0,0.0,10661,10664
-257.8,258.0,-113.0,113.9,10661,10663
119.8,-119.5,-29.6,40.3,10661,10778
-215.8,217.1,-66.7,9.7,10663,74234
-138.6,138.6,-59.0,61.2,10680,10685
-875.4,876.1,38.2,-201.8,10680,10812
-120.6,120.6,-59.9,61.2,10680,10687
-85.3,85.3,-60.2,61.2,10680,10684
122.7,-122.6,79.2,-162.9,10680,10905
-109.9,109.9,-59.6,61.2,10680,10688
-9.0,9.0,-4.9,5.0,10681,10689
-21.4,21.4,-33.1,6.6,10681,10915
8.1,-8.0,0.9,0.4,10681,10966
1.2,-1.2,-0.3,0.3,10681,10979
-284.6,284.7,-30.6,37.3,10681,10680
-0.2,0.2,-0.1,0.1,10681,10906
10.6,-10.2,-5.3,7.7,10691,10933
10.7,-10.5,-5.2,7.3,10691,13616
25.7,-25.7,-9.0,14.0,10691,10983
8.4,-8.3,0.4,0.1,10694,10843
1.3,-1.3,3.1,-3.1,10694,10862
9.0,-8.8,0.3,0.3,10695,10843
3.1,-3.1,3.0,-3.0,10695,10862
-79.4,79.4,17.2,-14.5,10697,10699
1.2,-1.2,0.5,-0.5,10697,10700
9.2,-9.1,0.6,1.2,10697,10729
-31.0,31.0,-16.1,16.1,10697,10701
-223.2,223.9,14.5,-43.7,10701,10718
-245.0,245.9,-14.4,1.6,10701,10979
29.1,-28.6,3.3,0.1,10703,10933
65.9,-65.8,11.9,-4.1,10703,11001
336.2,-335.4,-456.5,460.1,10707,10716
-172.4,172.4,11.7,-10.6,10707,10715
-189.6,189.7,13.3,-10.6,10707,10711
-135.9,136.0,12.4,-10.6,10707,10712
-171.1,171.2,13.7,-10.6,10707,10710
-189.3,189.4,13.0,-10.6,10707,10713
5.7,-5.6,2.1,-1.3,10708,10867
33.6,-32.8,1.3,6.4,10708,10729
-521.9,522.2,-26.8,50.0,10708,10707
25.9,-25.8,2.4,3.5,10708,10803
26.3,-26.3,2.5,3.7,10708,10802
312.7,-312.6,-66.6,-19.2,10716,10717
-1451.1,1455.9,-245.4,-85.6,10716,11011
1473.7,-1465.0,-148.1,-167.0,10716,10734
-71.1,71.1,-39.3,40.3,10717,10726
-1153.8,1156.5,-242.4,61.0,10717,11074
-104.9,104.9,-38.8,40.3,10717,10724
632.0,-630.0,-380.6,-434.2,10717,10892
-71.3,71.3,-39.4,40.3,10717,10725
-82.2,82.2,-39.5,40.3,10717,10723
1017.6,-1012.7,-419.5,-291.0,10717,10861
-11.6,11.7,-0.1,0.5,10718,11047
-0.7,0.7,-2.6,2.7,10718,10979
-3.6,3.6,-0.1,0.3,10718,10899
83.6,-83.6,-25.9,7.3,10718,10708
-377.4,377.5,56.7,-46.2,10718,10717
-483.7,493.8,-19.0,-6.4,10728,10748
124.6,-124.4,-65.2,41.9,10728,10369
-191.9,192.1,-45.9,57.8,10729,10728
-7.2,7.2,1.1,-0.7,10729,10925
-33.3,34.0,5.9,2.5,10729,10873
-0.1,0.1,-0.5,0.5,10729,10802
-0.4,0.4,-0.5,0.5,10729,10803
114.3,-114.2,-13.0,16.5,10730,10731
-321.7,322.3,4.9,-21.0,10730,10023
156.0,-155.4,-69.3,13.5,10730,10019
-5.5,5.5,7.8,-7.7,10731,11009
-11.4,11.6,1.7,-0.5,10731,10987
-0.5,0.5,0.3,-0.3,10731,10836
