Branch
MW From ,MW To ,Mvar From ,Mvar To ,From Number,To Number
7.2,-7.2,-0.1,0.7,10012,10019
-311.1,311.9,-30.8,20.9,10012,10987
11.5,-11.4,-0.9,1.7,10012,10731
-9.5,9.5,-0.9,1.2,10012,10987
115.7,-115.5,-7.2,-24.3,10012,10023
3.7,-3.6,0.5,-0.4,10012,10023
-2.8,2.8,0.5,-0.4,10012,10938
-34.0,34.0,-4.0,5.5,10023,10987
9.6,-9.5,-1.3,1.8,10023,10731
-12.4,12.4,-2.8,3.5,10057,10928
-191.7,191.8,-38.6,39.0,10057,10059
-4.0,4.0,-0.8,1.0,10057,10862
1.1,-1.0,-0.3,0.3,10057,10843
38.9,-38.7,-3.2,5.5,10057,10836
-9.2,9.2,-0.6,1.0,10057,10757
241.2,-240.6,9.0,-74.7,10059,10462
0.1,-0.1,1.2,-1.1,10078,10330
3.8,-3.8,-0.4,0.6,10078,10731
-202.6,203.0,-19.0,-49.1,10078,10838
-1.8,1.8,3.9,-3.8,10078,10459
0.9,-0.9,0.7,-0.7,10117,11037
-8.3,8.3,1.2,-0.1,10117,10798
-2.9,2.9,0.6,-0.5,10117,10758
-3.7,3.8,0.7,-0.4,10117,10917
18.3,-18.1,1.1,1.3,10117,10785
1.5,-1.5,-1.7,1.7,10127,10836
-0.4,0.4,0.6,-0.6,10127,10330
10.9,-10.9,-7.8,8.2,10127,10731
-51.5,51.6,-109.1,77.8,10127,10730
-3.8,3.8,1.7,-1.6,10127,10459
-222.0,222.5,-104.1,85.9,10192,10813
-11.8,11.8,-3.8,4.4,10192,13667
-2.6,2.6,-6.7,6.8,10192,10934
0.5,-0.5,-0.1,0.1,10192,13264
1.7,-1.7,-0.2,0.3,10192,13324
191.5,-191.2,43.2,-58.5,10192,13180
-1.3,1.3,-0.7,0.8,10192,10953
-523.6,529.9,-81.1,12.9,10192,11001
55.2,-55.2,29.1,-29.1,10196,10198
1.2,-1.2,0.1,-0.1,10196,10843
-294.2,294.6,-138.3,127.8,10196,10735
2.0,-2.0,0.8,-0.7,10196,10462
24.6,-24.5,-0.1,1.6,10196,10836
-260.8,261.6,-10.7,-18.7,10196,10857
1.0,-1.0,-0.4,0.4,10275,10462
-8.4,8.5,-0.3,1.1,10275,10758
21.9,-21.8,-10.5,11.4,10275,10729
-2.2,2.2,-0.0,0.1,10275,11037
14.4,-14.3,15.9,-15.7,10275,10459
0.6,-0.6,0.3,-0.3,10275,10468
-368.0,370.7,-37.0,7.7,10275,10758
2.5,-2.5,-1.0,1.2,10275,10731
8.4,-8.4,4.4,-4.2,10275,10330
1.0,-1.0,0.2,-0.2,10275,10346
257.7,-257.1,106.9,-119.1,10275,10330
-502.8,505.9,-108.3,99.8,10275,10117
52.7,-52.7,12.4,-12.3,10330,10332
-23.5,23.5,-4.3,4.6,10330,10459
-2.5,2.5,-0.9,1.0,10330,10369
0.9,-0.9,-2.4,2.4,10330,10729
-3.2,3.2,-1.2,1.3,10330,10427
1.8,-1.8,-2.6,2.7,10330,10836
-5.5,5.5,-12.6,12.8,10330,10462
-3.4,3.4,-2.1,2.3,10330,10432
1.2,-1.2,-1.2,1.2,10333,10729
0.2,-0.2,-0.6,0.6,10333,10462
-154.3,154.4,-38.8,27.2,10333,10427
-2.8,2.8,1.2,-1.2,10346,10459
